city,timestamp,temperature,windspeed,weathercode
Paris,2025-07-02T13:35:10.304099,30.9,24.7,2
Londres,2025-07-02T13:35:10.405647,19.9,12.4,3
Berlin,2025-07-02T13:35:10.520706,36.2,6.4,0
Paris,2025-07-02T13:35:10.303078,30.9,24.7,2
Londres,2025-07-02T13:35:10.405553,19.9,12.4,3
Berlin,2025-07-02T13:35:10.520550,36.2,6.4,0
Paris,2025-07-03T08:06:38.172205,19.9,9.3,1
Londres,2025-07-03T08:06:38.436257,16.6,3.7,0
Berlin,2025-07-03T08:06:38.727838,20.4,14.3,80
Paris,2025-07-04T08:00:03.266117,19.0,5.9,0
Londres,2025-07-04T08:00:03.466340,17.8,7.1,3
Berlin,2025-07-04T08:00:03.664246,17.9,8.8,3
